"","ListenerID","DatabaseID","Token","condition","Sent","rep","ratingType","Rating","Rating_rel"
"1","L211","Sub57","Sub57_Int_bsent.5_conv","conv","bsent","5","Int",95,98
"2","L211","Sub57","Sub57_Int_bsent.5_lessClear","lessClear","bsent","5","Int",67,88
"3","L211","Sub57","Sub57_Int_bsent.5_moreClear","moreClear","bsent","5","Int",99,98
"4","L212","Sub60","Sub60_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"5","L212","Sub60","Sub60_Int_bsent.5_lessClear","lessClear","bsent","5","Int",100,100
"6","L212","Sub60","Sub60_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"7","L213","Sub48","Sub48_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"8","L213","Sub48","Sub48_Int_bsent.5_lessClear","lessClear","bsent","5","Int",94,100
"9","L213","Sub48","Sub48_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"10","L214","Sub59","Sub59_Int_bsent.2_conv","conv","bsent","2","Int",100,100
"11","L214","Sub59","Sub59_Int_bsent.2_lessClear","lessClear","bsent","2","Int",100,100
"12","L214","Sub59","Sub59_Int_bsent.2_moreClear","moreClear","bsent","2","Int",100,100
"13","L215","Sub40","Sub40_Int_bsent.3_conv","conv","bsent","3","Int",100,98
"14","L215","Sub40","Sub40_Int_bsent.3_lessClear","lessClear","bsent","3","Int",100,100
"15","L215","Sub40","Sub40_Int_bsent.3_moreClear","moreClear","bsent","3","Int",100,100
"16","L216","Sub53","Sub53_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"17","L216","Sub53","Sub53_Int_bsent.5_lessClear","lessClear","bsent","5","Int",95,100
"18","L216","Sub53","Sub53_Int_bsent.5_moreClear","moreClear","bsent","5","Int",91,100
"19","L217","Sub44","Sub44_Int_bsent.1_conv","conv","bsent","1","Int",69,38
"20","L217","Sub44","Sub44_Int_bsent.1_lessClear","lessClear","bsent","1","Int",27,10
"21","L217","Sub44","Sub44_Int_bsent.1_moreClear","moreClear","bsent","1","Int",100,99
"22","L217","Sub44","Sub44_Int_bsent.3_conv","conv","bsent","3","Int",NA,39
"23","L217","Sub44","Sub44_Int_bsent.3_lessClear","lessClear","bsent","3","Int",NA,17
"24","L217","Sub44","Sub44_Int_bsent.3_moreClear","moreClear","bsent","3","Int",NA,37
"25","L218","Sub36","Sub36_Int_bsent.5_conv","conv","bsent","5","Int",67,76
"26","L218","Sub36","Sub36_Int_bsent.5_lessClear","lessClear","bsent","5","Int",60,49
"27","L218","Sub36","Sub36_Int_bsent.5_moreClear","moreClear","bsent","5","Int",63,70
"28","L219","Sub13","Sub13_Int_bsent.3_conv","conv","bsent","3","Int",97,99
"29","L219","Sub13","Sub13_Int_bsent.3_lessClear","lessClear","bsent","3","Int",88,62
"30","L219","Sub13","Sub13_Int_bsent.3_moreClear","moreClear","bsent","3","Int",86,100
"31","L220","Sub52","Sub52_Int_bsent.2_conv","conv","bsent","2","Int",100,100
"32","L220","Sub52","Sub52_Int_bsent.2_lessClear","lessClear","bsent","2","Int",100,100
"33","L220","Sub52","Sub52_Int_bsent.2_moreClear","moreClear","bsent","2","Int",100,100
"34","L221","Sub49_2","Sub49_Int_bsent.4_conv","conv","bsent","4","Int",100,100
"35","L221","Sub49_2","Sub49_Int_bsent.4_lessClear","lessClear","bsent","4","Int",100,100
"36","L221","Sub49_2","Sub49_Int_bsent.4_moreClear","moreClear","bsent","4","Int",100,93
"37","L222","Sub17","Sub17_Int_bsent.1_conv","conv","bsent","1","Int",100,100
"38","L222","Sub17","Sub17_Int_bsent.1_lessClear","lessClear","bsent","1","Int",100,100
"39","L222","Sub17","Sub17_Int_bsent.1_moreClear","moreClear","bsent","1","Int",100,100
"40","L223","Sub39","Sub39_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"41","L223","Sub39","Sub39_Int_bsent.5_lessClear","lessClear","bsent","5","Int",100,100
"42","L223","Sub39","Sub39_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,96
"43","L224","Sub55_2","Sub55_Int_bsent.1_conv","conv","bsent","1","Int",21,55
"44","L224","Sub55_2","Sub55_Int_bsent.1_lessClear","lessClear","bsent","1","Int",25,45
"45","L224","Sub55_2","Sub55_Int_bsent.1_moreClear","moreClear","bsent","1","Int",42,47
"46","L225","Sub29","Sub29_Int_bsent.5_conv","conv","bsent","5","Int",100,72
"47","L225","Sub29","Sub29_Int_bsent.5_lessClear","lessClear","bsent","5","Int",85,82
"48","L225","Sub29","Sub29_Int_bsent.5_moreClear","moreClear","bsent","5","Int",90,53
"49","L226","Sub53","Sub53_Int_bsent.3_conv","conv","bsent","3","Int",100,100
"50","L226","Sub53","Sub53_Int_bsent.3_lessClear","lessClear","bsent","3","Int",100,100
"51","L226","Sub53","Sub53_Int_bsent.3_moreClear","moreClear","bsent","3","Int",100,100
"52","L227","Sub37","Sub37_Int_bsent.1_conv","conv","bsent","1","Int",100,100
"53","L227","Sub37","Sub37_Int_bsent.1_lessClear","lessClear","bsent","1","Int",98,100
"54","L227","Sub37","Sub37_Int_bsent.1_moreClear","moreClear","bsent","1","Int",96,100
"55","L228","Sub58","Sub58_Int_bsent.5_conv","conv","bsent","5","Int",100,93
"56","L228","Sub58","Sub58_Int_bsent.5_lessClear","lessClear","bsent","5","Int",87,90
"57","L228","Sub58","Sub58_Int_bsent.5_moreClear","moreClear","bsent","5","Int",99,98
"58","L229","Sub17","Sub17_Int_bsent.3_conv","conv","bsent","3","Int",99,95
"59","L229","Sub17","Sub17_Int_bsent.3_lessClear","lessClear","bsent","3","Int",100,91
"60","L229","Sub17","Sub17_Int_bsent.3_moreClear","moreClear","bsent","3","Int",100,89
"61","L230","Sub50","Sub50_Int_bsent.2_conv","conv","bsent","2","Int",36,1
"62","L230","Sub50","Sub50_Int_bsent.2_lessClear","lessClear","bsent","2","Int",28,4
"63","L230","Sub50","Sub50_Int_bsent.2_moreClear","moreClear","bsent","2","Int",26,10
"64","L231","Sub37","Sub37_Int_bsent.3_conv","conv","bsent","3","Int",100,100
"65","L231","Sub37","Sub37_Int_bsent.3_lessClear","lessClear","bsent","3","Int",100,100
"66","L231","Sub37","Sub37_Int_bsent.3_moreClear","moreClear","bsent","3","Int",100,100
"67","L232","Sub36","Sub36_Int_bsent.4_conv","conv","bsent","4","Int",58,67
"68","L232","Sub36","Sub36_Int_bsent.4_lessClear","lessClear","bsent","4","Int",57,73
"69","L232","Sub36","Sub36_Int_bsent.4_moreClear","moreClear","bsent","4","Int",59,84
"70","L233","Sub59","Sub59_Int_bsent.4_conv","conv","bsent","4","Int",100,63
"71","L233","Sub59","Sub59_Int_bsent.4_lessClear","lessClear","bsent","4","Int",68,57
"72","L233","Sub59","Sub59_Int_bsent.4_moreClear","moreClear","bsent","4","Int",100,53
"73","L234","Sub46","Sub46_Int_bsent.1_conv","conv","bsent","1","Int",98,95
"74","L234","Sub46","Sub46_Int_bsent.1_lessClear","lessClear","bsent","1","Int",96,91
"75","L234","Sub46","Sub46_Int_bsent.1_moreClear","moreClear","bsent","1","Int",96,95
"76","L235","Sub45","Sub45_Int_bsent.1_conv","conv","bsent","1","Int",76,74
"77","L235","Sub45","Sub45_Int_bsent.1_lessClear","lessClear","bsent","1","Int",23,69
"78","L235","Sub45","Sub45_Int_bsent.1_moreClear","moreClear","bsent","1","Int",100,100
"79","L236","Sub58","Sub58_Int_bsent.4_conv","conv","bsent","4","Int",86,93
"80","L236","Sub58","Sub58_Int_bsent.4_lessClear","lessClear","bsent","4","Int",75,100
"81","L236","Sub58","Sub58_Int_bsent.4_moreClear","moreClear","bsent","4","Int",92,100
"82","L237","Sub60","Sub60_Int_bsent.1_conv","conv","bsent","1","Int",100,100
"83","L237","Sub60","Sub60_Int_bsent.1_lessClear","lessClear","bsent","1","Int",100,93
"84","L237","Sub60","Sub60_Int_bsent.1_moreClear","moreClear","bsent","1","Int",100,100
"85","L238","Sub42","Sub42_Int_bsent.4_conv","conv","bsent","4","Int",100,98
"86","L238","Sub42","Sub42_Int_bsent.4_lessClear","lessClear","bsent","4","Int",100,100
"87","L238","Sub42","Sub42_Int_bsent.4_moreClear","moreClear","bsent","4","Int",100,100
"88","L239","Sub13","Sub13_Int_bsent.2_conv","conv","bsent","2","Int",82,87
"89","L239","Sub13","Sub13_Int_bsent.2_lessClear","lessClear","bsent","2","Int",81,86
"90","L239","Sub13","Sub13_Int_bsent.2_moreClear","moreClear","bsent","2","Int",83,91
"91","L240","Sub41","Sub41_Int_bsent.2_conv","conv","bsent","2","Int",11,100
"92","L240","Sub41","Sub41_Int_bsent.2_lessClear","lessClear","bsent","2","Int",100,100
"93","L240","Sub41","Sub41_Int_bsent.2_moreClear","moreClear","bsent","2","Int",86,100
"94","L241","Sub51","Sub51_Int_bsent.3_conv","conv","bsent","3","Int",99,80
"95","L241","Sub51","Sub51_Int_bsent.3_lessClear","lessClear","bsent","3","Int",99,72
"96","L241","Sub51","Sub51_Int_bsent.3_moreClear","moreClear","bsent","3","Int",96,96
"97","L242","Sub38","Sub38_Int_bsent.3_conv","conv","bsent","3","Int",100,100
"98","L242","Sub38","Sub38_Int_bsent.3_lessClear","lessClear","bsent","3","Int",100,100
"99","L242","Sub38","Sub38_Int_bsent.3_moreClear","moreClear","bsent","3","Int",100,100
"100","L243","Sub55_2","Sub55_Int_bsent.5_conv","conv","bsent","5","Int",58,100
"101","L243","Sub55_2","Sub55_Int_bsent.5_lessClear","lessClear","bsent","5","Int",31,100
"102","L243","Sub55_2","Sub55_Int_bsent.5_moreClear","moreClear","bsent","5","Int",58,100
"103","L244","Sub29","Sub29_Int_bsent.2_conv","conv","bsent","2","Int",79,99
"104","L244","Sub29","Sub29_Int_bsent.2_lessClear","lessClear","bsent","2","Int",70,100
"105","L244","Sub29","Sub29_Int_bsent.2_moreClear","moreClear","bsent","2","Int",100,100
"106","L245","Sub50","Sub50_Int_bsent.5_conv","conv","bsent","5","Int",14,14
"107","L245","Sub50","Sub50_Int_bsent.5_lessClear","lessClear","bsent","5","Int",4,35
"108","L245","Sub50","Sub50_Int_bsent.5_moreClear","moreClear","bsent","5","Int",14,37
"109","L246","Sub49_2","Sub49_Int_bsent.1_conv","conv","bsent","1","Int",100,57
"110","L246","Sub49_2","Sub49_Int_bsent.1_lessClear","lessClear","bsent","1","Int",82,45
"111","L246","Sub49_2","Sub49_Int_bsent.1_moreClear","moreClear","bsent","1","Int",100,100
"112","L247","Sub39","Sub39_Int_bsent.3_conv","conv","bsent","3","Int",100,100
"113","L247","Sub39","Sub39_Int_bsent.3_lessClear","lessClear","bsent","3","Int",95,62
"114","L247","Sub39","Sub39_Int_bsent.3_moreClear","moreClear","bsent","3","Int",99,100
"115","L248","Sub42","Sub42_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"116","L248","Sub42","Sub42_Int_bsent.5_lessClear","lessClear","bsent","5","Int",100,100
"117","L248","Sub42","Sub42_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"118","L249","Sub45","Sub45_Int_bsent.3_conv","conv","bsent","3","Int",100,94
"119","L249","Sub45","Sub45_Int_bsent.3_lessClear","lessClear","bsent","3","Int",100,83
"120","L249","Sub45","Sub45_Int_bsent.3_moreClear","moreClear","bsent","3","Int",100,100
"121","L250","Sub36","Sub36_Int_bsent.2_conv","conv","bsent","2","Int",28,100
"122","L250","Sub36","Sub36_Int_bsent.2_lessClear","lessClear","bsent","2","Int",33,100
"123","L250","Sub36","Sub36_Int_bsent.2_moreClear","moreClear","bsent","2","Int",29,100
"124","L251","Sub49_2","Sub49_Int_bsent.4_conv","conv","bsent","4","Int",3,100
"125","L251","Sub49_2","Sub49_Int_bsent.4_lessClear","lessClear","bsent","4","Int",21,100
"126","L251","Sub49_2","Sub49_Int_bsent.4_moreClear","moreClear","bsent","4","Int",51,100
"127","L252","Sub13","Sub13_Int_bsent.2_conv","conv","bsent","2","Int",60,69
"128","L252","Sub13","Sub13_Int_bsent.2_lessClear","lessClear","bsent","2","Int",32,73
"129","L252","Sub13","Sub13_Int_bsent.2_moreClear","moreClear","bsent","2","Int",59,78
"130","L253","Sub57","Sub57_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"131","L253","Sub57","Sub57_Int_bsent.5_lessClear","lessClear","bsent","5","Int",0,92
"132","L253","Sub57","Sub57_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"133","L254","Sub54","Sub54_Int_bsent.4_conv","conv","bsent","4","Int",44,72
"134","L254","Sub54","Sub54_Int_bsent.4_lessClear","lessClear","bsent","4","Int",100,61
"135","L254","Sub54","Sub54_Int_bsent.4_moreClear","moreClear","bsent","4","Int",100,69
"136","L255","Sub47","Sub47_Int_bsent.3_conv","conv","bsent","3","Int",100,100
"137","L255","Sub47","Sub47_Int_bsent.3_lessClear","lessClear","bsent","3","Int",100,92
"138","L255","Sub47","Sub47_Int_bsent.3_moreClear","moreClear","bsent","3","Int",100,100
"139","L256","Sub40","Sub40_Int_bsent.3_conv","conv","bsent","3","Int",55,87
"140","L256","Sub40","Sub40_Int_bsent.3_lessClear","lessClear","bsent","3","Int",55,90
"141","L256","Sub40","Sub40_Int_bsent.3_moreClear","moreClear","bsent","3","Int",100,100
"142","L257","Sub40","Sub40_Int_bsent.5_conv","conv","bsent","5","Int",42,100
"143","L257","Sub40","Sub40_Int_bsent.5_lessClear","lessClear","bsent","5","Int",35,100
"144","L257","Sub40","Sub40_Int_bsent.5_moreClear","moreClear","bsent","5","Int",42,100
"145","L258","Sub42","Sub42_Int_bsent.3_conv","conv","bsent","3","Int",84,100
"146","L258","Sub42","Sub42_Int_bsent.3_lessClear","lessClear","bsent","3","Int",55,85
"147","L258","Sub42","Sub42_Int_bsent.3_moreClear","moreClear","bsent","3","Int",98,86
"148","L259","Sub48","Sub48_Int_bsent.2_conv","conv","bsent","2","Int",100,100
"149","L259","Sub48","Sub48_Int_bsent.2_lessClear","lessClear","bsent","2","Int",97,100
"150","L259","Sub48","Sub48_Int_bsent.2_moreClear","moreClear","bsent","2","Int",100,100
"151","L260","Sub50","Sub50_Int_bsent.1_conv","conv","bsent","1","Int",89,56
"152","L260","Sub50","Sub50_Int_bsent.1_lessClear","lessClear","bsent","1","Int",37,20
"153","L260","Sub50","Sub50_Int_bsent.1_moreClear","moreClear","bsent","1","Int",100,75
"154","L261","Sub44","Sub44_Int_bsent.1_conv","conv","bsent","1","Int",80,53
"155","L261","Sub44","Sub44_Int_bsent.1_lessClear","lessClear","bsent","1","Int",73,46
"156","L261","Sub44","Sub44_Int_bsent.1_moreClear","moreClear","bsent","1","Int",82,54
"157","L261","Sub44","Sub44_Int_bsent.3_conv","conv","bsent","3","Int",NA,52
"158","L261","Sub44","Sub44_Int_bsent.3_lessClear","lessClear","bsent","3","Int",NA,59
"159","L261","Sub44","Sub44_Int_bsent.3_moreClear","moreClear","bsent","3","Int",NA,60
"160","L262","Sub58","Sub58_Int_bsent.3_conv","conv","bsent","3","Int",100,100
"161","L262","Sub58","Sub58_Int_bsent.3_lessClear","lessClear","bsent","3","Int",100,100
"162","L262","Sub58","Sub58_Int_bsent.3_moreClear","moreClear","bsent","3","Int",70,100
"163","L263","Sub38","Sub38_Int_bsent.4_conv","conv","bsent","4","Int",100,100
"164","L263","Sub38","Sub38_Int_bsent.4_lessClear","lessClear","bsent","4","Int",100,80
"165","L263","Sub38","Sub38_Int_bsent.4_moreClear","moreClear","bsent","4","Int",100,100
"166","L264","Sub29","Sub29_Int_bsent.5_conv","conv","bsent","5","Int",100,68
"167","L264","Sub29","Sub29_Int_bsent.5_lessClear","lessClear","bsent","5","Int",100,69
"168","L264","Sub29","Sub29_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,69
"169","L265","Sub52","Sub52_Int_bsent.5_conv","conv","bsent","5","Int",31,20
"170","L265","Sub52","Sub52_Int_bsent.5_lessClear","lessClear","bsent","5","Int",0,100
"171","L265","Sub52","Sub52_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"172","L266","Sub46","Sub46_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"173","L266","Sub46","Sub46_Int_bsent.5_lessClear","lessClear","bsent","5","Int",100,100
"174","L266","Sub46","Sub46_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"175","L267","Sub17","Sub17_Int_bsent.2_conv","conv","bsent","2","Int",100,100
"176","L267","Sub17","Sub17_Int_bsent.2_lessClear","lessClear","bsent","2","Int",100,100
"177","L267","Sub17","Sub17_Int_bsent.2_moreClear","moreClear","bsent","2","Int",100,100
"178","L268","Sub44","Sub44_Int_bsent.3_conv","conv","bsent","3","Int",NA,100
"179","L268","Sub44","Sub44_Int_bsent.3_lessClear","lessClear","bsent","3","Int",NA,57
"180","L268","Sub44","Sub44_Int_bsent.3_moreClear","moreClear","bsent","3","Int",NA,81
"181","L268","Sub44","Sub44_Int_bsent.4_conv","conv","bsent","4","Int",91,90
"182","L268","Sub44","Sub44_Int_bsent.4_lessClear","lessClear","bsent","4","Int",26,72
"183","L268","Sub44","Sub44_Int_bsent.4_moreClear","moreClear","bsent","4","Int",100,100
"184","L269","Sub45","Sub45_Int_bsent.2_conv","conv","bsent","2","Int",79,100
"185","L269","Sub45","Sub45_Int_bsent.2_lessClear","lessClear","bsent","2","Int",44,100
"186","L269","Sub45","Sub45_Int_bsent.2_moreClear","moreClear","bsent","2","Int",82,100
"187","L270","Sub60","Sub60_Int_bsent.3_conv","conv","bsent","3","Int",81,100
"188","L270","Sub60","Sub60_Int_bsent.3_lessClear","lessClear","bsent","3","Int",85,64
"189","L270","Sub60","Sub60_Int_bsent.3_moreClear","moreClear","bsent","3","Int",95,100
"190","L271","Sub41","Sub41_Int_bsent.4_conv","conv","bsent","4","Int",100,100
"191","L271","Sub41","Sub41_Int_bsent.4_lessClear","lessClear","bsent","4","Int",100,100
"192","L271","Sub41","Sub41_Int_bsent.4_moreClear","moreClear","bsent","4","Int",100,100
"193","L272","Sub54","Sub54_Int_bsent.1_conv","conv","bsent","1","Int",57,86
"194","L272","Sub54","Sub54_Int_bsent.1_lessClear","lessClear","bsent","1","Int",28,97
"195","L272","Sub54","Sub54_Int_bsent.1_moreClear","moreClear","bsent","1","Int",79,100
"196","L273","Sub51","Sub51_Int_bsent.2_conv","conv","bsent","2","Int",53,49
"197","L273","Sub51","Sub51_Int_bsent.2_lessClear","lessClear","bsent","2","Int",100,42
"198","L273","Sub51","Sub51_Int_bsent.2_moreClear","moreClear","bsent","2","Int",100,89
"199","L274","Sub59","Sub59_Int_bsent.3_conv","conv","bsent","3","Int",91,100
"200","L274","Sub59","Sub59_Int_bsent.3_lessClear","lessClear","bsent","3","Int",98,100
"201","L274","Sub59","Sub59_Int_bsent.3_moreClear","moreClear","bsent","3","Int",92,100
"202","L275","Sub39","Sub39_Int_bsent.4_conv","conv","bsent","4","Int",100,100
"203","L275","Sub39","Sub39_Int_bsent.4_lessClear","lessClear","bsent","4","Int",87,55
"204","L275","Sub39","Sub39_Int_bsent.4_moreClear","moreClear","bsent","4","Int",100,90
"205","L276","Sub52","Sub52_Int_bsent.4_conv","conv","bsent","4","Int",87,100
"206","L276","Sub52","Sub52_Int_bsent.4_lessClear","lessClear","bsent","4","Int",96,100
"207","L276","Sub52","Sub52_Int_bsent.4_moreClear","moreClear","bsent","4","Int",100,100
"208","L277","Sub47","Sub47_Int_bsent.4_conv","conv","bsent","4","Int",69,70
"209","L277","Sub47","Sub47_Int_bsent.4_lessClear","lessClear","bsent","4","Int",17,6
"210","L277","Sub47","Sub47_Int_bsent.4_moreClear","moreClear","bsent","4","Int",42,71
"211","L278","Sub55_2","Sub55_Int_bsent.4_conv","conv","bsent","4","Int",100,90
"212","L278","Sub55_2","Sub55_Int_bsent.4_lessClear","lessClear","bsent","4","Int",91,100
"213","L278","Sub55_2","Sub55_Int_bsent.4_moreClear","moreClear","bsent","4","Int",96,100
"214","L279","Sub57","Sub57_Int_bsent.4_conv","conv","bsent","4","Int",100,100
"215","L279","Sub57","Sub57_Int_bsent.4_lessClear","lessClear","bsent","4","Int",92,100
"216","L279","Sub57","Sub57_Int_bsent.4_moreClear","moreClear","bsent","4","Int",72,100
"217","L280","Sub13","Sub13_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"218","L280","Sub13","Sub13_Int_bsent.5_lessClear","lessClear","bsent","5","Int",94,93
"219","L280","Sub13","Sub13_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"220","L281","Sub42","Sub42_Int_bsent.5_conv","conv","bsent","5","Int",92,20
"221","L281","Sub42","Sub42_Int_bsent.5_lessClear","lessClear","bsent","5","Int",98,52
"222","L281","Sub42","Sub42_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"223","L282","Sub48","Sub48_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"224","L282","Sub48","Sub48_Int_bsent.5_lessClear","lessClear","bsent","5","Int",100,96
"225","L282","Sub48","Sub48_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"226","L283","Sub53","Sub53_Int_bsent.2_conv","conv","bsent","2","Int",100,84
"227","L283","Sub53","Sub53_Int_bsent.2_lessClear","lessClear","bsent","2","Int",83,79
"228","L283","Sub53","Sub53_Int_bsent.2_moreClear","moreClear","bsent","2","Int",100,100
"229","L284","Sub60","Sub60_Int_bsent.2_conv","conv","bsent","2","Int",100,100
"230","L284","Sub60","Sub60_Int_bsent.2_lessClear","lessClear","bsent","2","Int",100,100
"231","L284","Sub60","Sub60_Int_bsent.2_moreClear","moreClear","bsent","2","Int",100,100
"232","L285","Sub36","Sub36_Int_bsent.5_conv","conv","bsent","5","Int",16,51
"233","L285","Sub36","Sub36_Int_bsent.5_lessClear","lessClear","bsent","5","Int",16,62
"234","L285","Sub36","Sub36_Int_bsent.5_moreClear","moreClear","bsent","5","Int",15,100
"235","L286","Sub37","Sub37_Int_bsent.5_conv","conv","bsent","5","Int",100,100
"236","L286","Sub37","Sub37_Int_bsent.5_lessClear","lessClear","bsent","5","Int",100,100
"237","L286","Sub37","Sub37_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"238","L287","Sub47","Sub47_Int_bsent.1_conv","conv","bsent","1","Int",100,100
"239","L287","Sub47","Sub47_Int_bsent.1_lessClear","lessClear","bsent","1","Int",100,100
"240","L287","Sub47","Sub47_Int_bsent.1_moreClear","moreClear","bsent","1","Int",100,100
"241","L288","Sub52","Sub52_Int_bsent.5_conv","conv","bsent","5","Int",43,100
"242","L288","Sub52","Sub52_Int_bsent.5_lessClear","lessClear","bsent","5","Int",100,100
"243","L288","Sub52","Sub52_Int_bsent.5_moreClear","moreClear","bsent","5","Int",100,100
"244","L289","Sub29","Sub29_Int_bsent.3_conv","conv","bsent","3","Int",100,100
